"","val","var","sim","dwel","room","weather"
"179",218.6,"conv_hge_floor","Simp.","W","Dorm. N","Curitiba"
"180",96.4,"conv_hge_floor","Simp.","W","Dorm. S","Curitiba"
"181",580.9,"conv_hge_floor","Simp.","W","Living","Curitiba"
"182",360.7,"conv_hge_floor","Simp.","E","Dorm. N","Rio de Janeiro"
"183",207.9,"conv_hge_floor","Simp.","E","Dorm. S","Rio de Janeiro"
"184",700,"conv_hge_floor","Simp.","E","Living","Rio de Janeiro"
"185",503.6,"conv_hge_floor","Simp.","NE","Dorm. 1","Rio de Janeiro"
"186",496.3,"conv_hge_floor","Simp.","NE","Dorm. 2","Rio de Janeiro"
"187",1094.3,"conv_hge_floor","Simp.","NE","Living","Rio de Janeiro"
"188",502.7,"conv_hge_floor","Simp.","NW","Dorm. 1","Rio de Janeiro"
"189",496.2,"conv_hge_floor","Simp.","NW","Dorm. 2","Rio de Janeiro"
"190",1094.2,"conv_hge_floor","Simp.","NW","Living","Rio de Janeiro"
"191",269.7,"conv_hge_floor","Simp.","SE","Dorm. 1","Rio de Janeiro"
"192",265.6,"conv_hge_floor","Simp.","SE","Dorm. 2","Rio de Janeiro"
"193",565.5,"conv_hge_floor","Simp.","SE","Living","Rio de Janeiro"
"194",268.8,"conv_hge_floor","Simp.","SW","Dorm. 1","Rio de Janeiro"
"195",265.6,"conv_hge_floor","Simp.","SW","Dorm. 2","Rio de Janeiro"
"196",565.3,"conv_hge_floor","Simp.","SW","Living","Rio de Janeiro"
"197",357.9,"conv_hge_floor","Simp.","W","Dorm. N","Rio de Janeiro"
"198",206.9,"conv_hge_floor","Simp.","W","Dorm. S","Rio de Janeiro"
"199",777.8,"conv_hge_floor","Simp.","W","Living","Rio de Janeiro"
"200",271.3,"conv_hge_floor","Simp.","E","Dorm. N","São Paulo"
"201",142.3,"conv_hge_floor","Simp.","E","Dorm. S","São Paulo"
"202",557.4,"conv_hge_floor","Simp.","E","Living","São Paulo"
"203",399.5,"conv_hge_floor","Simp.","NE","Dorm. 1","São Paulo"
"204",400.9,"conv_hge_floor","Simp.","NE","Dorm. 2","São Paulo"
"205",915,"conv_hge_floor","Simp.","NE","Living","São Paulo"
"206",398.8,"conv_hge_floor","Simp.","NW","Dorm. 1","São Paulo"
"207",400.9,"conv_hge_floor","Simp.","NW","Dorm. 2","São Paulo"
"208",915,"conv_hge_floor","Simp.","NW","Living","São Paulo"
"209",197.7,"conv_hge_floor","Simp.","SE","Dorm. 1","São Paulo"
"210",201,"conv_hge_floor","Simp.","SE","Dorm. 2","São Paulo"
"211",457.6,"conv_hge_floor","Simp.","SE","Living","São Paulo"
"212",197,"conv_hge_floor","Simp.","SW","Dorm. 1","São Paulo"
"213",201,"conv_hge_floor","Simp.","SW","Dorm. 2","São Paulo"
"214",457.6,"conv_hge_floor","Simp.","SW","Living","São Paulo"
"215",270.2,"conv_hge_floor","Simp.","W","Dorm. N","São Paulo"
"216",142.1,"conv_hge_floor","Simp.","W","Dorm. S","São Paulo"
"217",621.9,"conv_hge_floor","Simp.","W","Living","São Paulo"
"218",76.8,"conv_hge_roof","Base","E","Dorm. N","Curitiba"
"219",24.3,"conv_hge_roof","Base","E","Dorm. S","Curitiba"
"220",186.8,"conv_hge_roof","Base","E","Living","Curitiba"
"221",128.4,"conv_hge_roof","Base","NE","Dorm. 1","Curitiba"
"222",132.9,"conv_hge_roof","Base","NE","Dorm. 2","Curitiba"
"223",171.3,"conv_hge_roof","Base","NE","Living","Curitiba"
"224",131.7,"conv_hge_roof","Base","NW","Dorm. 1","Curitiba"
"225",136.7,"conv_hge_roof","Base","NW","Dorm. 2","Curitiba"
"226",348.8,"conv_hge_roof","Base","NW","Living","Curitiba"
"227",50.3,"conv_hge_roof","Base","SE","Dorm. 1","Curitiba"
"228",54.7,"conv_hge_roof","Base","SE","Dorm. 2","Curitiba"
"229",151.3,"conv_hge_roof","Base","SE","Living","Curitiba"
"230",50.8,"conv_hge_roof","Base","SW","Dorm. 1","Curitiba"
"231",54.7,"conv_hge_roof","Base","SW","Dorm. 2","Curitiba"
"232",151.7,"conv_hge_roof","Base","SW","Living","Curitiba"
"233",82.1,"conv_hge_roof","Base","W","Dorm. N","Curitiba"
"234",28.5,"conv_hge_roof","Base","W","Dorm. S","Curitiba"
"235",244,"conv_hge_roof","Base","W","Living","Curitiba"
"236",161.4,"conv_hge_roof","Base","E","Dorm. N","Rio de Janeiro"
"237",98.7,"conv_hge_roof","Base","E","Dorm. S","Rio de Janeiro"
"238",355.7,"conv_hge_roof","Base","E","Living","Rio de Janeiro"
"239",238.1,"conv_hge_roof","Base","NE","Dorm. 1","Rio de Janeiro"
"240",235.2,"conv_hge_roof","Base","NE","Dorm. 2","Rio de Janeiro"
"241",329.7,"conv_hge_roof","Base","NE","Living","Rio de Janeiro"
"242",240.8,"conv_hge_roof","Base","NW","Dorm. 1","Rio de Janeiro"
"243",238.6,"conv_hge_roof","Base","NW","Dorm. 2","Rio de Janeiro"
"244",544.2,"conv_hge_roof","Base","NW","Living","Rio de Janeiro"
"245",145.2,"conv_hge_roof","Base","SE","Dorm. 1","Rio de Janeiro"
"246",143.6,"conv_hge_roof","Base","SE","Dorm. 2","Rio de Janeiro"
"247",308.7,"conv_hge_roof","Base","SE","Living","Rio de Janeiro"
"248",145.2,"conv_hge_roof","Base","SW","Dorm. 1","Rio de Janeiro"
"249",143.6,"conv_hge_roof","Base","SW","Dorm. 2","Rio de Janeiro"
"250",308.8,"conv_hge_roof","Base","SW","Living","Rio de Janeiro"
"251",166.6,"conv_hge_roof","Base","W","Dorm. N","Rio de Janeiro"
"252",102.7,"conv_hge_roof","Base","W","Dorm. S","Rio de Janeiro"
"253",376.7,"conv_hge_roof","Base","W","Living","Rio de Janeiro"
"254",110.6,"conv_hge_roof","Base","E","Dorm. N","São Paulo"
"255",57,"conv_hge_roof","Base","E","Dorm. S","São Paulo"
"256",264.1,"conv_hge_roof","Base","E","Living","São Paulo"
"257",171,"conv_hge_roof","Base","NE","Dorm. 1","São Paulo"
"258",172.4,"conv_hge_roof","Base","NE","Dorm. 2","São Paulo"
"259",237.4,"conv_hge_roof","Base","NE","Living","São Paulo"
"260",173.7,"conv_hge_roof","Base","NW","Dorm. 1","São Paulo"
"261",175.7,"conv_hge_roof","Base","NW","Dorm. 2","São Paulo"
"262",422,"conv_hge_roof","Base","NW","Living","São Paulo"
"263",91.7,"conv_hge_roof","Base","SE","Dorm. 1","São Paulo"
"264",94,"conv_hge_roof","Base","SE","Dorm. 2","São Paulo"
"265",222.5,"conv_hge_roof","Base","SE","Living","São Paulo"
"266",91.7,"conv_hge_roof","Base","SW","Dorm. 1","São Paulo"
"267",94,"conv_hge_roof","Base","SW","Dorm. 2","São Paulo"
"268",222.6,"conv_hge_roof","Base","SW","Living","São Paulo"
"269",114.2,"conv_hge_roof","Base","W","Dorm. N","São Paulo"
"270",59.9,"conv_hge_roof","Base","W","Dorm. S","São Paulo"
"271",281.9,"conv_hge_roof","Base","W","Living","São Paulo"
"272",83,"conv_hge_roof","Simp.","E","Dorm. N","Curitiba"
"273",38.7,"conv_hge_roof","Simp.","E","Dorm. S","Curitiba"
"274",211.3,"conv_hge_roof","Simp.","E","Living","Curitiba"
"275",144.6,"conv_hge_roof","Simp.","NE","Dorm. 1","Curitiba"
"276",153.1,"conv_hge_roof","Simp.","NE","Dorm. 2","Curitiba"
"277",373.7,"conv_hge_roof","Simp.","NE","Living","Curitiba"
"278",144.6,"conv_hge_roof","Simp.","NW","Dorm. 1","Curitiba"
"279",153.1,"conv_hge_roof","Simp.","NW","Dorm. 2","Curitiba"
"280",373.8,"conv_hge_roof","Simp.","NW","Living","Curitiba"
"281",71.9,"conv_hge_roof","Simp.","SE","Dorm. 1","Curitiba"
"282",77.2,"conv_hge_roof","Simp.","SE","Dorm. 2","Curitiba"
"283",200.3,"conv_hge_roof","Simp.","SE","Living","Curitiba"
"284",72.2,"conv_hge_roof","Simp.","SW","Dorm. 1","Curitiba"
"285",77.2,"conv_hge_roof","Simp.","SW","Dorm. 2","Curitiba"
"286",200.3,"conv_hge_roof","Simp.","SW","Living","Curitiba"
"287",87.5,"conv_hge_roof","Simp.","W","Dorm. N","Curitiba"
"288",42.7,"conv_hge_roof","Simp.","W","Dorm. S","Curitiba"
"289",257.2,"conv_hge_roof","Simp.","W","Living","Curitiba"
"290",160.4,"conv_hge_roof","Simp.","E","Dorm. N","Rio de Janeiro"
"291",104.7,"conv_hge_roof","Simp.","E","Dorm. S","Rio de Janeiro"
"292",351.4,"conv_hge_roof","Simp.","E","Living","Rio de Janeiro"
"293",234.2,"conv_hge_roof","Simp.","NE","Dorm. 1","Rio de Janeiro"
"294",234.9,"conv_hge_roof","Simp.","NE","Dorm. 2","Rio de Janeiro"
"295",528.4,"conv_hge_roof","Simp.","NE","Living","Rio de Janeiro"
"296",233.9,"conv_hge_roof","Simp.","NW","Dorm. 1","Rio de Janeiro"
"297",234.8,"conv_hge_roof","Simp.","NW","Dorm. 2","Rio de Janeiro"
"298",528.3,"conv_hge_roof","Simp.","NW","Living","Rio de Janeiro"
"299",146.5,"conv_hge_roof","Simp.","SE","Dorm. 1","Rio de Janeiro"
"300",144.6,"conv_hge_roof","Simp.","SE","Dorm. 2","Rio de Janeiro"
"301",319.7,"conv_hge_roof","Simp.","SE","Living","Rio de Janeiro"
"302",146.2,"conv_hge_roof","Simp.","SW","Dorm. 1","Rio de Janeiro"
"303",144.6,"conv_hge_roof","Simp.","SW","Dorm. 2","Rio de Janeiro"
"304",319.6,"conv_hge_roof","Simp.","SW","Living","Rio de Janeiro"
"305",163.1,"conv_hge_roof","Simp.","W","Dorm. N","Rio de Janeiro"
"306",107,"conv_hge_roof","Simp.","W","Dorm. S","Rio de Janeiro"
"307",364.3,"conv_hge_roof","Simp.","W","Living","Rio de Janeiro"
"308",116.2,"conv_hge_roof","Simp.","E","Dorm. N","São Paulo"
"309",69.2,"conv_hge_roof","Simp.","E","Dorm. S","São Paulo"
"310",280.2,"conv_hge_roof","Simp.","E","Living","São Paulo"
"311",182.4,"conv_hge_roof","Simp.","NE","Dorm. 1","São Paulo"
"312",187.6,"conv_hge_roof","Simp.","NE","Dorm. 2","São Paulo"
"313",438,"conv_hge_roof","Simp.","NE","Living","São Paulo"
"314",182.1,"conv_hge_roof","Simp.","NW","Dorm. 1","São Paulo"
"315",187.5,"conv_hge_roof","Simp.","NW","Dorm. 2","São Paulo"
"316",438,"conv_hge_roof","Simp.","NW","Living","São Paulo"
"317",106.9,"conv_hge_roof","Simp.","SE","Dorm. 1","São Paulo"
"318",109.4,"conv_hge_roof","Simp.","SE","Dorm. 2","São Paulo"
"319",258.6,"conv_hge_roof","Simp.","SE","Living","São Paulo"
"320",106.7,"conv_hge_roof","Simp.","SW","Dorm. 1","São Paulo"
"321",109.3,"conv_hge_roof","Simp.","SW","Dorm. 2","São Paulo"
"322",258.5,"conv_hge_roof","Simp.","SW","Living","São Paulo"
"323",118.2,"conv_hge_roof","Simp.","W","Dorm. N","São Paulo"
"324",70.9,"conv_hge_roof","Simp.","W","Dorm. S","São Paulo"
"325",291.9,"conv_hge_roof","Simp.","W","Living","São Paulo"
"326",230.6,"conv_hge_walls","Base","E","Dorm. N","Curitiba"
"327",81.8,"conv_hge_walls","Base","E","Dorm. S","Curitiba"
"328",566.1,"conv_hge_walls","Base","E","Living","Curitiba"
"329",362.8,"conv_hge_walls","Base","NE","Dorm. 1","Curitiba"
"330",406.2,"conv_hge_walls","Base","NE","Dorm. 2","Curitiba"
"331",657.1,"conv_hge_walls","Base","NE","Living","Curitiba"
"332",376.2,"conv_hge_walls","Base","NW","Dorm. 1","Curitiba"
"333",425.1,"conv_hge_walls","Base","NW","Dorm. 2","Curitiba"
"334",907.6,"conv_hge_walls","Base","NW","Living","Curitiba"
"335",168,"conv_hge_walls","Base","SE","Dorm. 1","Curitiba"
"336",195.2,"conv_hge_walls","Base","SE","Dorm. 2","Curitiba"
"337",448.4,"conv_hge_walls","Base","SE","Living","Curitiba"
"338",169.7,"conv_hge_walls","Base","SW","Dorm. 1","Curitiba"
"339",195.4,"conv_hge_walls","Base","SW","Dorm. 2","Curitiba"
"340",449.5,"conv_hge_walls","Base","SW","Living","Curitiba"
"341",251.4,"conv_hge_walls","Base","W","Dorm. N","Curitiba"
"342",101.9,"conv_hge_walls","Base","W","Dorm. S","Curitiba"
"343",785.5,"conv_hge_walls","Base","W","Living","Curitiba"
"344",634.5,"conv_hge_walls","Base","E","Dorm. N","Rio de Janeiro"
"345",439.1,"conv_hge_walls","Base","E","Dorm. S","Rio de Janeiro"
"346",1052,"conv_hge_walls","Base","E","Living","Rio de Janeiro"
"347",769.6,"conv_hge_walls","Base","NE","Dorm. 1","Rio de Janeiro"
"348",780.8,"conv_hge_walls","Base","NE","Dorm. 2","Rio de Janeiro"
"349",1079.8,"conv_hge_walls","Base","NE","Living","Rio de Janeiro"
"350",783,"conv_hge_walls","Base","NW","Dorm. 1","Rio de Janeiro"
"351",800.2,"conv_hge_walls","Base","NW","Dorm. 2","Rio de Janeiro"
"352",1380.7,"conv_hge_walls","Base","NW","Living","Rio de Janeiro"
"353",518.9,"conv_hge_walls","Base","SE","Dorm. 1","Rio de Janeiro"
"354",514.9,"conv_hge_walls","Base","SE","Dorm. 2","Rio de Janeiro"
"355",845,"conv_hge_walls","Base","SE","Living","Rio de Janeiro"
"356",517.2,"conv_hge_walls","Base","SW","Dorm. 1","Rio de Janeiro"
"357",515,"conv_hge_walls","Base","SW","Dorm. 2","Rio de Janeiro"
"358",845.6,"conv_hge_walls","Base","SW","Living","Rio de Janeiro"
