"","val","var","sim","dwel","room","weather"
"212",173.7,"conv_hge_floor","Simp.","SW","Dorm. 1","São Paulo"
"213",167.1,"conv_hge_floor","Simp.","SW","Dorm. 2","São Paulo"
"214",353.8,"conv_hge_floor","Simp.","SW","Living","São Paulo"
"215",106.1,"conv_hge_floor","Simp.","W","Dorm. N","São Paulo"
"216",129.5,"conv_hge_floor","Simp.","W","Dorm. S","São Paulo"
"217",329.9,"conv_hge_floor","Simp.","W","Living","São Paulo"
"218",37.5,"conv_hge_roof","Base","E","Dorm. N","Curitiba"
"219",-6.1,"conv_hge_roof","Base","E","Dorm. S","Curitiba"
"220",107.1,"conv_hge_roof","Base","E","Living","Curitiba"
"221",76.2,"conv_hge_roof","Base","NE","Dorm. 1","Curitiba"
"222",86.2,"conv_hge_roof","Base","NE","Dorm. 2","Curitiba"
"223",104.7,"conv_hge_roof","Base","NE","Living","Curitiba"
"224",81.5,"conv_hge_roof","Base","NW","Dorm. 1","Curitiba"
"225",90.7,"conv_hge_roof","Base","NW","Dorm. 2","Curitiba"
"226",251.3,"conv_hge_roof","Base","NW","Living","Curitiba"
"227",14.9,"conv_hge_roof","Base","SE","Dorm. 1","Curitiba"
"228",22.8,"conv_hge_roof","Base","SE","Dorm. 2","Curitiba"
"229",77.2,"conv_hge_roof","Base","SE","Living","Curitiba"
"230",16.7,"conv_hge_roof","Base","SW","Dorm. 1","Curitiba"
"231",22.9,"conv_hge_roof","Base","SW","Dorm. 2","Curitiba"
"232",77.8,"conv_hge_roof","Base","SW","Living","Curitiba"
"233",46,"conv_hge_roof","Base","W","Dorm. N","Curitiba"
"234",-0.5,"conv_hge_roof","Base","W","Dorm. S","Curitiba"
"235",172.6,"conv_hge_roof","Base","W","Living","Curitiba"
"236",154.4,"conv_hge_roof","Base","E","Dorm. N","Rio de Janeiro"
"237",97.9,"conv_hge_roof","Base","E","Dorm. S","Rio de Janeiro"
"238",316.6,"conv_hge_roof","Base","E","Living","Rio de Janeiro"
"239",223.3,"conv_hge_roof","Base","NE","Dorm. 1","Rio de Janeiro"
"240",218.5,"conv_hge_roof","Base","NE","Dorm. 2","Rio de Janeiro"
"241",319.6,"conv_hge_roof","Base","NE","Living","Rio de Janeiro"
"242",227,"conv_hge_roof","Base","NW","Dorm. 1","Rio de Janeiro"
"243",223.2,"conv_hge_roof","Base","NW","Dorm. 2","Rio de Janeiro"
"244",483.3,"conv_hge_roof","Base","NW","Living","Rio de Janeiro"
"245",144.6,"conv_hge_roof","Base","SE","Dorm. 1","Rio de Janeiro"
"246",139.8,"conv_hge_roof","Base","SE","Dorm. 2","Rio de Janeiro"
"247",276.8,"conv_hge_roof","Base","SE","Living","Rio de Janeiro"
"248",144.4,"conv_hge_roof","Base","SW","Dorm. 1","Rio de Janeiro"
"249",139.8,"conv_hge_roof","Base","SW","Dorm. 2","Rio de Janeiro"
"250",276.8,"conv_hge_roof","Base","SW","Living","Rio de Janeiro"
"251",164.1,"conv_hge_roof","Base","W","Dorm. N","Rio de Janeiro"
"252",106.3,"conv_hge_roof","Base","W","Dorm. S","Rio de Janeiro"
"253",354.1,"conv_hge_roof","Base","W","Living","Rio de Janeiro"
"254",79.9,"conv_hge_roof","Base","E","Dorm. N","São Paulo"
"255",34,"conv_hge_roof","Base","E","Dorm. S","São Paulo"
"256",200.7,"conv_hge_roof","Base","E","Living","São Paulo"
"257",129.9,"conv_hge_roof","Base","NE","Dorm. 1","São Paulo"
"258",135.1,"conv_hge_roof","Base","NE","Dorm. 2","São Paulo"
"259",197.7,"conv_hge_roof","Base","NE","Living","São Paulo"
"260",133.6,"conv_hge_roof","Base","NW","Dorm. 1","São Paulo"
"261",139.5,"conv_hge_roof","Base","NW","Dorm. 2","São Paulo"
"262",340,"conv_hge_roof","Base","NW","Living","São Paulo"
"263",64.1,"conv_hge_roof","Base","SE","Dorm. 1","São Paulo"
"264",69.1,"conv_hge_roof","Base","SE","Dorm. 2","São Paulo"
"265",165.7,"conv_hge_roof","Base","SE","Living","São Paulo"
"266",64.2,"conv_hge_roof","Base","SW","Dorm. 1","São Paulo"
"267",69.1,"conv_hge_roof","Base","SW","Dorm. 2","São Paulo"
"268",165.8,"conv_hge_roof","Base","SW","Living","São Paulo"
"269",85.8,"conv_hge_roof","Base","W","Dorm. N","São Paulo"
"270",37.9,"conv_hge_roof","Base","W","Dorm. S","São Paulo"
"271",230.9,"conv_hge_roof","Base","W","Living","São Paulo"
"272",24.2,"conv_hge_roof","Simp.","E","Dorm. N","Curitiba"
"273",9.4,"conv_hge_roof","Simp.","E","Dorm. S","Curitiba"
"274",103,"conv_hge_roof","Simp.","E","Living","Curitiba"
"275",50.3,"conv_hge_roof","Simp.","NE","Dorm. 1","Curitiba"
"276",56.1,"conv_hge_roof","Simp.","NE","Dorm. 2","Curitiba"
"277",191.5,"conv_hge_roof","Simp.","NE","Living","Curitiba"
"278",51.3,"conv_hge_roof","Simp.","NW","Dorm. 1","Curitiba"
"279",56.1,"conv_hge_roof","Simp.","NW","Dorm. 2","Curitiba"
"280",191.4,"conv_hge_roof","Simp.","NW","Living","Curitiba"
"281",27.2,"conv_hge_roof","Simp.","SE","Dorm. 1","Curitiba"
"282",30.9,"conv_hge_roof","Simp.","SE","Dorm. 2","Curitiba"
"283",102.6,"conv_hge_roof","Simp.","SE","Living","Curitiba"
"284",28.1,"conv_hge_roof","Simp.","SW","Dorm. 1","Curitiba"
"285",30.9,"conv_hge_roof","Simp.","SW","Dorm. 2","Curitiba"
"286",102.7,"conv_hge_roof","Simp.","SW","Living","Curitiba"
"287",29.9,"conv_hge_roof","Simp.","W","Dorm. N","Curitiba"
"288",12.6,"conv_hge_roof","Simp.","W","Dorm. S","Curitiba"
"289",145.4,"conv_hge_roof","Simp.","W","Living","Curitiba"
"290",143.3,"conv_hge_roof","Simp.","E","Dorm. N","Rio de Janeiro"
"291",116.2,"conv_hge_roof","Simp.","E","Dorm. S","Rio de Janeiro"
"292",310.6,"conv_hge_roof","Simp.","E","Living","Rio de Janeiro"
"293",209.7,"conv_hge_roof","Simp.","NE","Dorm. 1","Rio de Janeiro"
"294",209,"conv_hge_roof","Simp.","NE","Dorm. 2","Rio de Janeiro"
"295",451,"conv_hge_roof","Simp.","NE","Living","Rio de Janeiro"
"296",210,"conv_hge_roof","Simp.","NW","Dorm. 1","Rio de Janeiro"
"297",208.9,"conv_hge_roof","Simp.","NW","Dorm. 2","Rio de Janeiro"
"298",450.8,"conv_hge_roof","Simp.","NW","Living","Rio de Janeiro"
"299",170.2,"conv_hge_roof","Simp.","SE","Dorm. 1","Rio de Janeiro"
