"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year21",-0.0509035377958739,-4.57142857142857,27.0810210876804,2.3382933495293,2.38663484486873,3.21406913280775,2.69230769230768,0.702028081123249,-200,-5.64971751412429,NA,-2.38910012674271,11.1111111111111,-2.38095238095237,NA,2.37602695194751,"NE","Dorm. 1","Rio de Janeiro","Hyp.","SF","01"
"year22",-0.0509035377958739,-4.23462088698141,24.3228302929795,1.88623199168276,1.90961171228517,0.480000000000003,2.15154349859682,2.88418206399279,-450,-5.88235294117647,NA,-2.02813010172047,0,-2.56410256410257,NA,2.03197282895123,"NE","Dorm. 2","Rio de Janeiro","Hyp.","SF","01"
"year23",0.0382214294814713,-1.5132230236176,-33.2428151165422,-8.74777975133215,-9.54727440714506,NA,-9.02674591381871,-7.95666791184161,3.31491712707181,-4.21760391198044,NA,6.54874839341453,5.88235294117648,9.85915492957746,NA,-5.93192333113019,"NE","Living","Rio de Janeiro","Hyp.","SF","01"
"year24",-0.0509035377958739,-4.85159817351598,28.6189683860233,3.09983285215013,2.86259541984733,2.89062499999999,3.20307495195388,3.5301278149726,-266.666666666667,0.561797752808977,NA,-3.05372529143435,11.1111111111111,-4.76190476190477,NA,2.95438430631058,"NW","Dorm. 1","Rio de Janeiro","Hyp.","SF","01"
"year25",-0.0509035377958739,-4.52203777904979,26.3128800442233,2.89489311163895,2.61146496815286,3.33183250787934,2.80898876404494,2.71855010660981,-550,0.887573964497054,NA,-2.83812633429612,0,-2.56410256410257,NA,2.74622321114885,"NW","Dorm. 2","Rio de Janeiro","Hyp.","SF","01"
"year26",-0.0127404764938238,-1.5552099533437,10.4524886877828,2.04045422285309,1.63127116035704,2.50737463126844,1.81953212031191,NA,2.48618784530386,2.69607843137255,NA,-3.02242344519562,5.88235294117648,1.40845070422535,NA,2.85226584439185,"NW","Living","Rio de Janeiro","Hyp.","SF","01"
"year27",0.0254388196387601,-0.805404001039222,-15.389527458493,-5.08415147265077,-5.3354890864996,-5.12455516014234,-4.53374549201442,-5.79322638146168,7.43801652892562,-6.9078947368421,NA,3.80218027120447,10,9.72222222222222,NA,-3.51543361097501,"SE","Dorm. 1","Rio de Janeiro","Hyp.","SF","01"
"year28",0.0254388196387601,-0.569948186528494,-16.8789808917197,-5.83966827919833,-5.84028605482718,-6.33540372670807,-4.94505494505494,-6.10727562400425,7.96460176991151,-6.84039087947882,NA,4.18150639757289,8.33333333333334,10.2941176470588,NA,-3.86508659981767,"SE","Dorm. 2","Rio de Janeiro","Hyp.","SF","01"
"year29",0.0254452926208709,-0.918518518518525,-19.2387134848038,-7.57086886379349,-7.983411093831,NA,-7.14555765595463,-7.86132812500001,3.03030303030302,-6.84380032206119,NA,4.38521066208081,1.29870129870129,8.8235294117647,NA,-3.87589618358847,"SE","Living","Rio de Janeiro","Hyp.","SF","01"
"year30",0.0254388196387601,-0.726895119418487,-15.5612244897959,-5.15518148342977,-5.33117932148626,-5.88760035682426,-4.58290422245107,-5.2744119743407,7.5,-6.9078947368421,NA,3.84027639359511,10,9.72222222222222,NA,-3.54453627180901,"SW","Dorm. 1","Rio de Janeiro","Hyp.","SF","01"
"year31",0.0254388196387601,-0.544182430681515,-16.9426751592357,-5.83966827919833,-5.95947556615018,-6.06382978723405,-4.94505494505494,-6.32754342431761,7.96460176991151,-6.84039087947882,NA,4.18178220434007,8.33333333333334,10.2941176470588,NA,-3.87116378000608,"SW","Dorm. 2","Rio de Janeiro","Hyp.","SF","01"
"year32",0.0254452926208709,-0.859131980447351,-19.1796990262614,-7.46629796059453,-7.87973043027476,-7.6773566569485,-7.03213610586011,NA,6.06060606060605,-6.76873489121675,NA,4.30997420464315,1.29870129870129,8.8235294117647,NA,-3.81003068060859,"SW","Living","Rio de Janeiro","Hyp.","SF","01"
"year33",-0.0522056904202677,-4.44533440128154,26.1514441842311,2.79370952821462,2.41796200345423,3.58514724711909,2.96495956873315,2.16284987277354,-42.3076923076923,-0.677966101694913,NA,-2.46942432032407,0,0,NA,2.38454356101415,"W","Dorm. N","Rio de Janeiro","Hyp.","SF","01"
"year34",0,-0.686664257318387,-15.1215121512151,-3.87746358183377,-4.02761795166858,-4.4935262757045,-3.83895131086142,-3.24400564174896,7.69230769230768,-2.31023102310231,NA,2.85621551444337,14.2857142857143,8.43373493975905,NA,-2.63508512213175,"W","Dorm. S","Rio de Janeiro","Hyp.","SF","01"
"year35",0.0131457867753265,-1.06916137654527,3.21907600596126,-0.110782865583461,-0.727650727650731,-0.190217391304345,0.6060606060606,-0.0615763546797995,3.48525469168902,-0.117785630153131,NA,-0.855887115429103,0,5.26315789473683,NA,0.743867520736786,"W","Living","Rio de Janeiro","Hyp.","SF","01"
"year36",-0.0521104742053123,-3.52177942539389,56.4276048714479,9.05218317358892,9.43683409436834,7.12401055408972,9.71659919028341,10.0220264317181,-3.17460317460318,6.87500000000001,NA,-7.70510687316012,0,-3.19148936170212,NA,7.02955608809769,"E","Dorm. N","São Paulo","Hyp.","SF","01"
"year37",0,3.65671641791045,-3,-0.946798917944104,-1.68350168350168,-1.91387559808613,0.512820512820508,-0.987306064880117,0.173913043478263,4.04624277456647,NA,-0.434900788257685,Inf,1.32450331125827,NA,0.337105706718026,"E","Dorm. S","São Paulo","Hyp.","SF","01"
"year38",-0.0131268049356667,-0.36617842876164,13.1541725601132,1.70995321826101,0.860585197934596,1.51515151515152,2.70713699753896,1.70664206642066,-2.22929936305733,1.88492063492064,NA,-2.30039894305995,0,0.709219858156026,NA,2.00480085348506,"E","Living","São Paulo","Hyp.","SF","01"
"year39",-0.0508130081300929,-3.544776119403,51.6072980017376,8.41492458322308,8.98692810457516,8.94071914480077,9.1755319148936,5.94315245478035,-3.88198757763975,-2.91262135922331,NA,-8.04278514861669,0,-3.77358490566038,NA,7.54840520063606,"NE","Dorm. 1","São Paulo","Hyp.","SF","01"
"year40",-0.0508130081300929,-3.00375469336672,48.5957446808511,7.84508440913604,8.43116328708644,5.75107296137339,8.38095238095238,9.07142857142856,-3.87096774193549,-2.05128205128204,NA,-7.71845630873826,0,-4.08163265306121,NA,7.26063587501138,"NE","Dorm. 2","São Paulo","Hyp.","SF","01"
"year41",0.0254485303473782,1.1018664268046,-31.8858184026723,-7.97398217297037,-8.60570955730243,NA,-9.31372549019608,-6.80372001957905,-0.78003120124805,-2.12071778140293,NA,5.94995517157062,0,4.58015267175572,NA,-5.36727220506929,"NE","Living","São Paulo","Hyp.","SF","01"
"year42",-0.0508130081300929,-4.15632754342431,53.8194444444444,9.68426638365614,9.79591836734694,9.26640926640927,9.9601593625498,9.55665024630542,-4.199066874028,6.66666666666666,NA,-8.99835458658989,0,-4.71698113207547,NA,8.35125783222669,"NW","Dorm. 1","São Paulo","Hyp.","SF","01"
