"","val","var","sim","dwel","room","weather"
"277",322.5,"conv_hge_roof","Simp.","NE","Living","Curitiba"
"278",116.1,"conv_hge_roof","Simp.","NW","Dorm. 1","Curitiba"
"279",133.1,"conv_hge_roof","Simp.","NW","Dorm. 2","Curitiba"
"280",322.6,"conv_hge_roof","Simp.","NW","Living","Curitiba"
"281",40,"conv_hge_roof","Simp.","SE","Dorm. 1","Curitiba"
"282",49.5,"conv_hge_roof","Simp.","SE","Dorm. 2","Curitiba"
"283",131.2,"conv_hge_roof","Simp.","SE","Living","Curitiba"
"284",40.9,"conv_hge_roof","Simp.","SW","Dorm. 1","Curitiba"
"285",49.5,"conv_hge_roof","Simp.","SW","Dorm. 2","Curitiba"
"286",131.6,"conv_hge_roof","Simp.","SW","Living","Curitiba"
"287",61.7,"conv_hge_roof","Simp.","W","Dorm. N","Curitiba"
"288",23.7,"conv_hge_roof","Simp.","W","Dorm. S","Curitiba"
"289",201.1,"conv_hge_roof","Simp.","W","Living","Curitiba"
"290",165.6,"conv_hge_roof","Simp.","E","Dorm. N","Rio de Janeiro"
"291",112.7,"conv_hge_roof","Simp.","E","Dorm. S","Rio de Janeiro"
"292",349.7,"conv_hge_roof","Simp.","E","Living","Rio de Janeiro"
"293",248.5,"conv_hge_roof","Simp.","NE","Dorm. 1","Rio de Janeiro"
"294",246.2,"conv_hge_roof","Simp.","NE","Dorm. 2","Rio de Janeiro"
"295",523.4,"conv_hge_roof","Simp.","NE","Living","Rio de Janeiro"
"296",247,"conv_hge_roof","Simp.","NW","Dorm. 1","Rio de Janeiro"
"297",246.1,"conv_hge_roof","Simp.","NW","Dorm. 2","Rio de Janeiro"
"298",523.2,"conv_hge_roof","Simp.","NW","Living","Rio de Janeiro"
"299",146.8,"conv_hge_roof","Simp.","SE","Dorm. 1","Rio de Janeiro"
"300",141,"conv_hge_roof","Simp.","SE","Dorm. 2","Rio de Janeiro"
"301",295.7,"conv_hge_roof","Simp.","SE","Living","Rio de Janeiro"
"302",145.4,"conv_hge_roof","Simp.","SW","Dorm. 1","Rio de Janeiro"
"303",141,"conv_hge_roof","Simp.","SW","Dorm. 2","Rio de Janeiro"
"304",295.5,"conv_hge_roof","Simp.","SW","Living","Rio de Janeiro"
"305",171,"conv_hge_roof","Simp.","W","Dorm. N","Rio de Janeiro"
"306",117.1,"conv_hge_roof","Simp.","W","Dorm. S","Rio de Janeiro"
"307",357.7,"conv_hge_roof","Simp.","W","Living","Rio de Janeiro"
"308",98.1,"conv_hge_roof","Simp.","E","Dorm. N","São Paulo"
"309",57.5,"conv_hge_roof","Simp.","E","Dorm. S","São Paulo"
"310",244.8,"conv_hge_roof","Simp.","E","Living","São Paulo"
"311",168.9,"conv_hge_roof","Simp.","NE","Dorm. 1","São Paulo"
"312",179.1,"conv_hge_roof","Simp.","NE","Dorm. 2","São Paulo"
"313",403.7,"conv_hge_roof","Simp.","NE","Living","São Paulo"
"314",168.1,"conv_hge_roof","Simp.","NW","Dorm. 1","São Paulo"
"315",179,"conv_hge_roof","Simp.","NW","Dorm. 2","São Paulo"
"316",403.5,"conv_hge_roof","Simp.","NW","Living","São Paulo"
"317",84.3,"conv_hge_roof","Simp.","SE","Dorm. 1","São Paulo"
"318",89,"conv_hge_roof","Simp.","SE","Dorm. 2","São Paulo"
"319",209.3,"conv_hge_roof","Simp.","SE","Living","São Paulo"
"320",83.5,"conv_hge_roof","Simp.","SW","Dorm. 1","São Paulo"
"321",89,"conv_hge_roof","Simp.","SW","Dorm. 2","São Paulo"
"322",209.1,"conv_hge_roof","Simp.","SW","Living","São Paulo"
"323",102.1,"conv_hge_roof","Simp.","W","Dorm. N","São Paulo"
"324",60.4,"conv_hge_roof","Simp.","W","Dorm. S","São Paulo"
"325",254.2,"conv_hge_roof","Simp.","W","Living","São Paulo"
"326",33.5,"conv_hge_walls","Base","E","Dorm. N","Curitiba"
"327",-60,"conv_hge_walls","Base","E","Dorm. S","Curitiba"
"328",351.7,"conv_hge_walls","Base","E","Living","Curitiba"
"329",180.4,"conv_hge_walls","Base","NE","Dorm. 1","Curitiba"
"330",268.1,"conv_hge_walls","Base","NE","Dorm. 2","Curitiba"
"331",548.6,"conv_hge_walls","Base","NE","Living","Curitiba"
"332",208.2,"conv_hge_walls","Base","NW","Dorm. 1","Curitiba"
"333",295,"conv_hge_walls","Base","NW","Dorm. 2","Curitiba"
"334",668.7,"conv_hge_walls","Base","NW","Living","Curitiba"
"335",45.2,"conv_hge_walls","Base","SE","Dorm. 1","Curitiba"
"336",97.4,"conv_hge_walls","Base","SE","Dorm. 2","Curitiba"
"337",258.2,"conv_hge_walls","Base","SE","Living","Curitiba"
"338",51,"conv_hge_walls","Base","SW","Dorm. 1","Curitiba"
"339",97.6,"conv_hge_walls","Base","SW","Dorm. 2","Curitiba"
"340",259.4,"conv_hge_walls","Base","SW","Living","Curitiba"
"341",93.5,"conv_hge_walls","Base","W","Dorm. N","Curitiba"
"342",-8.3,"conv_hge_walls","Base","W","Dorm. S","Curitiba"
"343",536.1,"conv_hge_walls","Base","W","Living","Curitiba"
"344",715.5,"conv_hge_walls","Base","E","Dorm. N","Rio de Janeiro"
"345",533.6,"conv_hge_walls","Base","E","Dorm. S","Rio de Janeiro"
"346",1153.5,"conv_hge_walls","Base","E","Living","Rio de Janeiro"
"347",868.8,"conv_hge_walls","Base","NE","Dorm. 1","Rio de Janeiro"
"348",877.5,"conv_hge_walls","Base","NE","Dorm. 2","Rio de Janeiro"
"349",1297.3,"conv_hge_walls","Base","NE","Living","Rio de Janeiro"
"350",891,"conv_hge_walls","Base","NW","Dorm. 1","Rio de Janeiro"
"351",908.6,"conv_hge_walls","Base","NW","Dorm. 2","Rio de Janeiro"
"352",1474.1,"conv_hge_walls","Base","NW","Living","Rio de Janeiro"
"353",625.7,"conv_hge_walls","Base","SE","Dorm. 1","Rio de Janeiro"
"354",609.1,"conv_hge_walls","Base","SE","Dorm. 2","Rio de Janeiro"
"355",908.3,"conv_hge_walls","Base","SE","Living","Rio de Janeiro"
"356",622.1,"conv_hge_walls","Base","SW","Dorm. 1","Rio de Janeiro"
"357",609.1,"conv_hge_walls","Base","SW","Dorm. 2","Rio de Janeiro"
"358",908,"conv_hge_walls","Base","SW","Living","Rio de Janeiro"
"359",743.7,"conv_hge_walls","Base","W","Dorm. N","Rio de Janeiro"
"360",559.4,"conv_hge_walls","Base","W","Dorm. S","Rio de Janeiro"
"361",1273.3,"conv_hge_walls","Base","W","Living","Rio de Janeiro"
"362",296.8,"conv_hge_walls","Base","E","Dorm. N","São Paulo"
"363",172.6,"conv_hge_walls","Base","E","Dorm. S","São Paulo"
"364",695.8,"conv_hge_walls","Base","E","Living","São Paulo"
"365",446.3,"conv_hge_walls","Base","NE","Dorm. 1","São Paulo"
"366",506.4,"conv_hge_walls","Base","NE","Dorm. 2","São Paulo"
"367",844.9,"conv_hge_walls","Base","NE","Living","São Paulo"
"368",467.6,"conv_hge_walls","Base","NW","Dorm. 1","São Paulo"
"369",534.4,"conv_hge_walls","Base","NW","Dorm. 2","São Paulo"
"370",985.2,"conv_hge_walls","Base","NW","Living","São Paulo"
"371",269.3,"conv_hge_walls","Base","SE","Dorm. 1","São Paulo"
"372",299.8,"conv_hge_walls","Base","SE","Dorm. 2","São Paulo"
"373",533.6,"conv_hge_walls","Base","SE","Living","São Paulo"
"374",267.7,"conv_hge_walls","Base","SW","Dorm. 1","São Paulo"
