"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year70",395.4,88.9,-25.8,70.3,-7.5,36,28.9,12.9,-89.5,9.3,17.9,-429.4,0,-23.6,17.9,53.9888888888889,"W","Dorm. S","Curitiba","Hyp.","SF","Simp."
"year71",764.9,543.2,171.9,820.5,142.8,320.2,152.1,205.4,-82.6,85.5,0.4,-2329.3,0.9,-15.5,0.4,176.726666666667,"W","Living","Curitiba","Hyp.","SF","Simp."
"year72",382,366,151.5,646.5,140.7,183.2,129.5,193.1,-21.2,33.7,0,-1483.6,1.4,-8.9,0,178.888888888889,"E","Dorm. N","Rio de Janeiro","Hyp.","SF","Simp."
"year73",382.7,247.5,155.3,501.7,92.4,149.2,116.7,143.4,-22.1,33.9,0,-1256.3,0.9,-29.6,0,154.955555555556,"E","Dorm. S","Rio de Janeiro","Hyp.","SF","Simp."
"year74",759.8,773.4,453.5,1290.9,222.5,350.7,234.1,483.6,19.3,137.1,0,-3490.2,1.6,-6.3,0,262.026666666667,"E","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year75",391.6,523.5,214.5,814.6,268.1,204.6,186.5,155.4,-28.8,38.8,0,-1889.4,0.7,-6.5,0,167.65,"NE","Dorm. 1","Rio de Janeiro","Hyp.","SF","Simp."
"year76",391.6,515.5,216.1,831.8,200.3,226.9,126.7,277.9,-26.9,37.6,0,-1902,0.8,-5.9,0,168.783333333333,"NE","Dorm. 2","Rio de Janeiro","Hyp.","SF","Simp."
"year77",783.9,1196.8,650.7,1640.1,525,0,361.4,379.8,44.1,171,0,-4582.5,3.2,-4.5,0,248.44,"NE","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year78",391.6,523.2,214.6,812.7,267.9,155.1,186.4,203.3,-28.7,38.9,0,-1887.8,0.7,-6.5,0,167.525,"NW","Dorm. 1","Rio de Janeiro","Hyp.","SF","Simp."
"year79",391.6,515.4,216.1,832.2,200.3,278.3,126.7,226.9,-26.9,37.4,0,-1902.1,0.8,-5.9,0,168.783333333333,"NW","Dorm. 2","Rio de Janeiro","Hyp.","SF","Simp."
"year80",783.9,1196.8,650.8,1641.1,525,383.4,361.4,0,44.2,170.5,0,-4583,3.2,-4.5,0,248.46,"NW","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year81",392.5,337.4,215.1,593.9,129.7,150.1,198.9,115.2,-26.3,28.6,0,-1507,0.7,-3,0,135.025,"SE","Dorm. 1","Rio de Janeiro","Hyp.","SF","Simp."
"year82",392.5,337.5,216,603.3,87.9,165.4,148.8,201.1,-24.9,29,0,-1519.6,0.8,-2.8,0,136.191666666667,"SE","Dorm. 2","Rio de Janeiro","Hyp.","SF","Simp."
"year83",785.5,734.4,578.5,1162.2,247.9,0,379.7,268.8,16.1,114.3,0,-3440.4,3.3,-2.7,0,190.16,"SE","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year84",392.5,337.2,215.2,592.8,129.7,115,198.8,149.3,-26.1,28.6,0,-1506.2,0.7,-3,0,134.958333333333,"SW","Dorm. 1","Rio de Janeiro","Hyp.","SF","Simp."
"year85",392.5,337.5,216,603.3,87.9,200.9,148.8,165.6,-24.9,29,0,-1519.6,0.8,-2.8,0,136.191666666667,"SW","Dorm. 2","Rio de Janeiro","Hyp.","SF","Simp."
"year86",785.5,734.5,578.6,1162.5,248,270,379.7,0,16.2,114.1,0,-3440.6,3.3,-2.7,0,190.17,"SW","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year87",382,365.8,156.1,641.5,137.9,194.3,130.3,179,-19.5,31.7,0,-1477.7,1.5,-9,0,178.055555555556,"W","Dorm. N","Rio de Janeiro","Hyp.","SF","Simp."
"year88",382.7,248.9,158.4,498.8,93.3,144.4,114.5,146.7,-20.7,31.5,0,-1250.1,1,-31.6,0,154.422222222222,"W","Dorm. S","Rio de Janeiro","Hyp.","SF","Simp."
"year89",760.1,874.1,502.1,1451.7,248.5,543.2,259.4,400.7,43.8,152.1,0,-3876.1,0.7,-3.5,0,287.666666666667,"W","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year90",385.6,232.7,17.6,328.7,76,85,56.4,111.3,-62.5,16,1.2,-860.8,0.3,-19,1.2,105.822222222222,"E","Dorm. N","São Paulo","Hyp.","SF","Simp."
"year91",388.7,141.4,28.5,220,28.2,59.8,59.2,72.7,-60.9,17.7,1.9,-690.9,0,-33.3,1.9,85.9777777777778,"E","Dorm. S","São Paulo","Hyp.","SF","Simp."
"year92",761.8,538.1,223.7,870.5,152.7,221,163.1,333.7,-52.2,94.4,0.1,-2456.2,0.6,-14.5,0.1,187.026666666667,"E","Living","São Paulo","Hyp.","SF","Simp."
"year93",394.9,344.3,37,462.7,160,123.6,88.9,90.2,-84.8,20.9,1.4,-1125,0,-12,1.4,101.308333333333,"NE","Dorm. 1","São Paulo","Hyp.","SF","Simp."
