"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year65",791.1,259.7,131.2,268.4,-49.3,0,131.5,98.8,-148.7,34.1,0,-1319.1,0.6,-17.3,0,80.46,"SE","Living","Curitiba","Hyp.","TV","Simp."
"year66",402.7,90.7,40.9,39.4,-96,36,56.7,42.7,-102.4,8.5,1.3,-466.4,0.2,-13.5,1.4,44.075,"SW","Dorm. 1","Curitiba","Hyp.","TV","Simp."
"year67",399.9,101.1,49.5,96.5,-70.1,67.1,50.5,49.1,-104.7,7.8,0,-533.1,0.2,-13.2,0,50.3166666666667,"SW","Dorm. 2","Curitiba","Hyp.","TV","Simp."
"year68",791.1,260,131.6,269.4,-49.3,99.6,131.8,0,-148.8,34.2,0,-1321,0.6,-17.3,0,80.555,"SW","Living","Curitiba","Hyp.","TV","Simp."
"year69",388.4,166.8,61.7,113.1,58.8,107,-28.1,-24.7,-76,13.5,0.3,-634.2,0.4,-20.1,0.3,78.5666666666667,"W","Dorm. N","Curitiba","Hyp.","TV","Simp."
"year70",394,68.7,23.7,-2.5,-75.2,40.5,55.5,-23.3,-77.7,14,7.3,-410.2,0.1,-18,7.3,51.7555555555556,"W","Dorm. S","Curitiba","Hyp.","TV","Simp."
"year71",764.8,482.4,201.1,626.2,94.7,277.3,130.8,123.4,-91.5,62,0.1,-2036.1,0.8,-16.6,0.1,156.9,"W","Living","Curitiba","Hyp.","TV","Simp."
"year72",382.5,348.9,165.6,733.2,157.5,197.7,148.7,229.3,-1.8,37.1,0,-1621.1,1.4,-5.6,0,193.466666666667,"E","Dorm. N","Rio de Janeiro","Hyp.","TV","Simp."
"year73",383.2,212.6,112.7,535.7,80.5,180.5,135.7,139,-8,33.7,0,-1252.5,1,-14.5,0,153.688888888889,"E","Dorm. S","Rio de Janeiro","Hyp.","TV","Simp."
"year74",760.8,685.8,349.7,1283.2,196,381.8,236.7,468.7,27.4,112.3,0,-3230.8,1.5,-4.8,0,242.34,"E","Living","Rio de Janeiro","Hyp.","TV","Simp."
